Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
fungal_infection,itching,skin_rash,nodal_skin_eruptions,dischromic__patches,,,,,,,,,,,,,
fungal_infection,skin_rash,nodal_skin_eruptions,dischromic__patches,,,,,,,,,,,,,,
fungal_infection,itching,nodal_skin_eruptions,dischromic__patches,,,,,,,,,,,,,,
fungal_infection,itching,skin_rash,dischromic__patches,,,,,,,,,,,,,,
fungal_infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,skin_rash,nodal_skin_eruptions,dischromic__patches,,,,,,,,,,,,,,
fungal_infection,itching,nodal_skin_eruptions,dischromic__patches,,,,,,,,,,,,,,
fungal_infection,itching,skin_rash,dischromic__patches,,,,,,,,,,,,,,
fungal_infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,itching,skin_rash,nodal_skin_eruptions,dischromic__patches,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,
gerd,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,
gerd,stomach_pain,acidity,vomiting,cough,chest_pain,,,,,,,,,,,,
gerd,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,,,,,,,,,,,,
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,,,,,,,,,,,,
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,,,,,,,,,,,,
gerd,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,
